x,Pdis
-29.75532876407765,-9.210340371976182
-29.655328764077648,
-29.555328764077647,
-29.455328764077645,
-29.355328764077644,-9.210340371976182
-29.255328764077642,-8.517193191416238
-29.15532876407764,
-29.05532876407764,
-28.95532876407764,
-28.855328764077637,-8.111728083308073
-28.755328764077635,-7.824046010856292
-28.655328764077634,-8.517193191416238
-28.555328764077633,-8.517193191416238
-28.45532876407763,
-28.35532876407763,-8.517193191416238
-28.25532876407763,
-28.155328764077627,-8.517193191416238
-28.055328764077625,-9.210340371976182
-27.955328764077624,-8.517193191416238
-27.855328764077623,-8.517193191416238
-27.75532876407762,
-27.65532876407762,
-27.55532876407762,
-27.455328764077617,
-27.355328764077615,
-27.255328764077614,
-27.155328764077613,
-27.05532876407761,
-26.95532876407761,
-26.85532876407761,
-26.755328764077607,
-26.655328764077606,
-26.555328764077604,
-26.455328764077603,-9.210340371976182
-26.3553287640776,-9.210340371976182
-26.2553287640776,
-26.1553287640776,
-26.055328764077597,
-25.955328764077596,
-25.855328764077594,
-25.755328764077593,
-25.65532876407759,
-25.55532876407759,
-25.45532876407759,
-25.355328764077587,
-25.255328764077586,
-25.155328764077584,
-25.055328764077583,
-24.95532876407758,
-24.85532876407758,
-24.75532876407758,
-24.655328764077577,
-24.555328764077576,
-24.455328764077574,
-24.355328764077573,
-24.25532876407757,
-24.15532876407757,
-24.05532876407757,
-23.955328764077567,
-23.855328764077566,
-23.755328764077564,
-23.655328764077563,
-23.55532876407756,
-23.45532876407756,
-23.35532876407756,
-23.255328764077557,
-23.155328764077556,
-23.055328764077554,
-22.955328764077553,
-22.85532876407755,
-22.75532876407755,
-22.65532876407755,
-22.555328764077547,
-22.455328764077546,
-22.355328764077544,
-22.255328764077543,
-22.15532876407754,
-22.05532876407754,
-21.95532876407754,
-21.855328764077537,
-21.755328764077536,
-21.655328764077534,
-21.555328764077533,
-21.45532876407753,
-21.35532876407753,
-21.25532876407753,
-21.155328764077527,
-21.055328764077526,
-20.955328764077525,
-20.855328764077523,
-20.75532876407752,
-20.65532876407752,
-20.55532876407752,
-20.455328764077517,
-20.355328764077516,
-20.255328764077515,
-20.155328764077513,
-20.05532876407751,
-19.95532876407751,
-19.85532876407751,
-19.755328764077507,
-19.655328764077506,
-19.555328764077505,
-19.455328764077503,
-19.355328764077502,
-19.2553287640775,
-19.1553287640775,
-19.055328764077498,
-18.955328764077496,
-18.855328764077495,
-18.755328764077493,
-18.655328764077492,
-18.55532876407749,
-18.45532876407749,
-18.355328764077488,
-18.255328764077486,
-18.155328764077485,
-18.055328764077483,
-17.955328764077482,
-17.85532876407748,
-17.75532876407748,
-17.655328764077478,
-17.555328764077476,
-17.455328764077475,
-17.355328764077473,
-17.255328764077472,
-17.15532876407747,
-17.05532876407747,
-16.955328764077468,
-16.855328764077466,
-16.755328764077465,
-16.655328764077463,
-16.555328764077462,
-16.45532876407746,
-16.35532876407746,
-16.255328764077458,
-16.155328764077456,
-16.055328764077455,
-15.955328764077453,
-15.855328764077452,
-15.75532876407745,
-15.65532876407745,
-15.555328764077448,
-15.455328764077446,
-15.355328764077445,
-15.255328764077444,
-15.155328764077442,
-15.05532876407744,
-14.95532876407744,
-14.855328764077438,
-14.755328764077436,
-14.655328764077435,
-14.555328764077434,
-14.455328764077432,
-14.35532876407743,
-14.25532876407743,
-14.155328764077428,
-14.055328764077426,
-13.955328764077425,
-13.855328764077424,
-13.755328764077422,
-13.65532876407742,
-13.55532876407742,
-13.455328764077418,
-13.355328764077417,
-13.255328764077415,
-13.155328764077414,
-13.055328764077412,
-12.95532876407741,
-12.85532876407741,
-12.755328764077408,
-12.655328764077407,
-12.555328764077405,
-12.455328764077404,
-12.355328764077402,
-12.255328764077401,
-12.1553287640774,
-12.055328764077398,
-11.955328764077397,
-11.855328764077395,
-11.755328764077394,
-11.655328764077392,
-11.555328764077391,
-11.45532876407739,
-11.355328764077388,
-11.255328764077387,
-11.155328764077385,
-11.055328764077384,
-10.955328764077382,
-10.855328764077381,
-10.75532876407738,
-10.655328764077378,
-10.555328764077377,
-10.455328764077375,
-10.355328764077374,
-10.255328764077372,
-10.155328764077371,
-10.05532876407737,
-9.955328764077368,
-9.855328764077367,
-9.755328764077365,
-9.655328764077364,
-9.555328764077363,
-9.455328764077361,
-9.35532876407736,
-9.255328764077358,
-9.155328764077357,
-9.055328764077355,
-8.955328764077354,
-8.855328764077353,
-8.755328764077351,
-8.65532876407735,
-8.555328764077348,
-8.455328764077347,
-8.355328764077345,
-8.255328764077344,
-8.155328764077343,
-8.055328764077341,
-7.95532876407734,
-7.855328764077338,
-7.755328764077337,
-7.6553287640773355,
-7.555328764077334,
-7.455328764077333,
-7.355328764077331,
-7.25532876407733,
-7.155328764077328,
-7.055328764077327,
-6.955328764077326,
-6.855328764077324,
-6.755328764077323,
-6.655328764077321,
-6.55532876407732,
-6.4553287640773185,
-6.355328764077317,
-6.255328764077316,
-6.155328764077314,
-6.055328764077313,
-5.955328764077311,
-5.85532876407731,
-5.7553287640773085,
-5.655328764077307,
-5.555328764077306,
-5.455328764077304,
-5.355328764077303,
-5.255328764077301,
-5.1553287640773,-9.210340371976182
-5.055328764077299,
-4.955328764077297,
-4.855328764077296,
-4.755328764077294,
-4.655328764077293,-9.210340371976182
-4.5553287640772915,-9.210340371976182
-4.45532876407729,
-4.355328764077289,
-4.255328764077287,
-4.155328764077286,
-4.055328764077284,-9.210340371976182
-3.955328764077283,
-3.8553287640772815,
-3.75532876407728,-7.824046010856292
-3.6553287640772787,
-3.5553287640772773,-9.210340371976182
-3.455328764077276,-8.517193191416238
-3.3553287640772744,-9.210340371976182
-3.255328764077273,-9.210340371976182
-3.1553287640772716,
-3.05532876407727,-8.111728083308073
-2.9553287640772687,-7.824046010856292
-2.8553287640772673,-8.111728083308073
-2.755328764077266,-7.600902459542082
-2.6553287640772645,-7.013115794639964
-2.555328764077263,-7.013115794639964
-2.4553287640772616,-6.437751649736401
-2.35532876407726,-6.812445099177812
-2.255328764077259,-6.119297918617867
-2.1553287640772574,-5.339139361068292
-2.055328764077256,-5.0206856299497575
-1.9553287640772545,-4.990832666800076
-1.8553287640772531,-4.448166437178426
-1.7553287640772517,-3.803168600516064
-1.6553287640772503,-3.074775480894444
-1.5553287640772488,-2.1671804559878427
-1.4553287640772474,-1.5237190370315628
-1.355328764077246,-1.666537504474673
-1.2553287640772446,-1.8944568674663975
-1.1553287640772432,-2.083449563077375
-1.0553287640772417,-2.6664285264113907
-0.9553287640772403,-3.937340813412436
-0.8553287640772389,-5.626821433520073
-0.7553287640772375,-7.264430222920869
